metric,value
accuracy,0.87
correct,174
n_validation,200
n_training,800
n_classes,17
macro_precision,0.7786181139122316
macro_recall,0.7678722206585984
macro_f1,0.7608849980833366
weighted_precision,0.8640456349206349
weighted_recall,0.87
weighted_f1,0.8622066577101677
balanced_accuracy,0.7678722206585984
macro_ovr_roc_auc,0.9906775615238234
micro_ovr_roc_auc,0.9955015625
macro_average_precision,0.9151020949004973
micro_average_precision,0.9513007693118009
parameters,27633
