class,recall,precision
1 NSR,1.0,0.4418604651162791
1 NSR,1.0,0.4453125
1 NSR,1.0,0.44881889763779526
1 NSR,1.0,0.4523809523809524
1 NSR,1.0,0.456
1 NSR,1.0,0.4596774193548387
1 NSR,1.0,0.4634146341463415
1 NSR,1.0,0.4672131147540984
1 NSR,1.0,0.475
1 NSR,1.0,0.4789915966386555
1 NSR,1.0,0.4830508474576271
1 NSR,1.0,0.48717948717948717
1 NSR,1.0,0.49137931034482757
1 NSR,1.0,0.4956521739130435
1 NSR,1.0,0.5
1 NSR,1.0,0.504424778761062
1 NSR,1.0,0.5089285714285714
1 NSR,1.0,0.5135135135135135
1 NSR,1.0,0.5181818181818182
1 NSR,1.0,0.5229357798165137
1 NSR,1.0,0.5277777777777778
1 NSR,1.0,0.5327102803738317
1 NSR,1.0,0.5377358490566038
1 NSR,1.0,0.5428571428571428
1 NSR,1.0,0.5480769230769231
1 NSR,1.0,0.5533980582524272
1 NSR,1.0,0.5588235294117647
1 NSR,1.0,0.5643564356435643
1 NSR,1.0,0.57
1 NSR,0.9824561403508771,0.5656565656565656
1 NSR,0.9824561403508771,0.5714285714285714
1 NSR,0.9824561403508771,0.5773195876288659
1 NSR,0.9824561403508771,0.5833333333333334
1 NSR,0.9824561403508771,0.5894736842105263
1 NSR,0.9824561403508771,0.5957446808510638
1 NSR,0.9824561403508771,0.6021505376344086
1 NSR,0.9824561403508771,0.6086956521739131
1 NSR,0.9824561403508771,0.6153846153846154
1 NSR,0.9824561403508771,0.6222222222222222
1 NSR,0.9824561403508771,0.6292134831460674
1 NSR,0.9824561403508771,0.6363636363636364
1 NSR,0.9824561403508771,0.6436781609195402
1 NSR,0.9824561403508771,0.6511627906976745
1 NSR,0.9824561403508771,0.6588235294117647
1 NSR,0.9824561403508771,0.6666666666666666
1 NSR,0.9824561403508771,0.6746987951807228
1 NSR,0.9824561403508771,0.6829268292682927
1 NSR,0.9824561403508771,0.691358024691358
1 NSR,0.9824561403508771,0.7
1 NSR,0.9824561403508771,0.7088607594936709
1 NSR,0.9824561403508771,0.717948717948718
1 NSR,0.9824561403508771,0.7272727272727273
1 NSR,0.9824561403508771,0.7368421052631579
1 NSR,0.9824561403508771,0.7466666666666667
