epsilon,accuracy,macro_f1,correct,n,max_absolute_perturbation
0,0.87,0.7608849980833366,174,200,0
0.01,0.835,0.714976385438911,167,200,0.010000228881835938
0.02,0.77,0.6507062794389114,154,200,0.020000457763671875
0.05,0.595,0.49459971159002053,119,200,0.05000019073486328
0.1,0.35,0.35628784858990464,70,200,0.10000038146972656
0.2,0.14,0.10735810824144265,28,200,0.20000076293945312
